RD [%],D [m],L [m],t [m],H [kN],M [kN.m],y [m],rot [deg]
0.30,10,20,0.091,35.2864151,2117.184906,0.00039422,0.001793444
0.30,10,20,0.091,52.55143738,3153.086243,0.000593261,0.002692473
0.30,10,20,0.091,69.57985687,4174.791412,0.000793563,0.003592908
0.30,10,20,0.091,86.38305664,5182.983398,0.000995039,0.00449466
0.30,10,20,0.091,102.9757614,6178.545685,0.001197604,0.005397629
0.30,10,20,0.091,119.3432846,7160.597076,0.001401311,0.006301891
0.30,10,20,0.091,135.4806061,8128.836365,0.00160615,0.007207465
0.30,10,20,0.091,151.4147339,9084.884033,0.001811979,0.008114194
0.30,10,20,0.091,182.7807465,10966.84479,0.002226241,0.009930536
0.30,10,20,0.091,243.2809296,14596.85577,0.003065876,0.013576201
0.30,10,20,0.091,300.0495911,18002.97546,0.003923778,0.017243355
0.30,10,20,0.091,354.5951233,21275.7074,0.004791655,0.020923787
0.30,10,20,0.091,406.9731445,24418.38867,0.005669168,0.02461716
0.30,10,20,0.091,456.7468567,27404.8114,0.006558416,0.02832555
0.30,10,20,0.091,504.6340027,30278.04016,0.007455863,0.03204499
0.30,10,20,0.091,550.5738525,33034.43115,0.008361846,0.035775571
0.30,10,20,0.091,594.793335,35687.6001,0.009275301,0.039516006
0.30,10,20,0.091,637.3885498,38243.31299,0.010195723,0.043265768
0.30,10,20,0.091,678.5291138,40711.74683,0.011122385,0.047023905
0.30,10,20,0.091,718.335144,43100.10864,0.012054653,0.050789714
0.30,10,20,0.091,756.8050537,45408.30322,0.012992637,0.054563104
0.30,10,20,0.091,794.2368774,47654.21265,0.01393479,0.058342701
0.30,10,20,0.091,830.5778809,49834.67285,0.014881607,0.062128553
0.30,10,20,0.091,866.0217285,51961.30371,0.015832002,0.065919826
0.30,10,20,0.091,900.5623779,54033.74268,0.01678619,0.069716381
0.30,10,20,0.091,934.2276001,56053.65601,0.017743986,0.07351812
0.30,10,20,0.091,967.0830688,58024.98413,0.018705187,0.077324597
0.30,10,20,0.091,968.6553713,58119.32228,0.018755659,0.077523646
0.30,10,20,0.091,1118.957397,67137.44385,0.023385937,0.095810219
0.30,10,20,0.091,1373.884644,82433.07861,0.0328435,0.132644326
0.30,10,20,0.091,1792.567749,107554.0649,0.052057136,0.206927568
0.30,10,20,0.091,2414.695068,144881.7041,0.091114368,0.357068329
0.30,10,20,0.091,3221.293701,193277.6221,0.169829234,0.661104412
0.30,10,20,0.091,3824.35791,229461.4746,0.248191543,0.967472382
0.30,10,20,0.091,4307.128906,258427.7344,0.326233044,1.275260434
0.30,10,20,0.091,4706.502441,282390.1465,0.403992489,1.584073627
0.30,10,20,0.091,5048.131348,302887.8809,0.481479913,1.893619402
0.30,10,20,0.091,5343.799316,320627.959,0.558793455,2.203693338
0.30,10,20,0.091,5603.477539,336208.6523,0.635961294,2.51412705
0.30,10,20,0.091,5835.71875,350143.125,0.713045567,2.824769483
0.30,10,20,0.091,6044.952148,362697.1289,0.79008612,3.135520065
0.30,10,20,0.091,6237.220215,374233.2129,0.867097259,3.446286359
0.30,10,20,0.091,6414.76123,384885.6738,0.944038898,3.75706162
0.30,10,20,0.091,6578.010254,394680.6152,1.020937502,4.067792177
0.30,10,20,0.091,6727.236816,403634.209,1.097815871,4.3784423
0.30,10,20,0.091,6867.237305,412034.2383,1.174685121,4.688935974
0.30,10,20,0.091,6996.046875,419762.8125,1.251560867,4.999264365
0.30,10,20,0.091,7117.31543,427038.9258,1.328455448,5.309356874
0.30,10,20,0.091,7230.424316,433825.459,1.405339658,5.619232477
0.30,10,20,0.091,7336.851074,440211.0645,1.482219696,5.928841153
0.30,10,20,0.091,7438.755859,446325.3516,1.559119761,6.238130412
0.30,10,20,0.091,7534.806152,452088.3691,1.635991991,6.547131453
0.30,10,20,0.091,7626.061523,457563.6914,1.712858796,6.855803137
0.30,10,20,0.091,7712.536621,462752.1973,1.789737701,7.164121871
0.30,10,20,0.091,7796.026855,467761.6113,1.866600156,7.472058673
0.30,10,20,0.091,7876.006836,472560.4102,1.943474174,7.779586433
0.30,10,20,0.091,7952.950684,477177.041,2.02037698,8.0866615
0.30,10,20,0.091,8020.679731,481240.7838,2.091394995,8.369852546
0.30,10,30,0.091,91.14402771,5468.641663,0.000533453,0.001988816
0.30,10,30,0.091,135.9059296,8154.355774,0.000804628,0.002987718
0.30,10,30,0.091,180.164032,10809.84192,0.001078594,0.003989358
0.30,10,30,0.091,223.9333496,13436.00098,0.001355225,0.004993612
0.30,10,30,0.091,267.2066956,16032.40173,0.001634513,0.006000498
0.30,10,30,0.091,309.9632874,18597.79724,0.001916502,0.007010103
0.30,10,30,0.091,394.259491,23655.56946,0.002486981,0.009035747
0.30,10,30,0.091,476.5003662,28590.02197,0.003068324,0.011072243
0.30,10,30,0.091,635.7446289,38144.67773,0.004258891,0.015172969
0.30,10,30,0.091,787.0872192,47225.23315,0.005490264,0.019315381
0.30,10,30,0.091,932.815918,55968.95508,0.006749851,0.023487458
0.30,10,30,0.091,1072.088379,64325.30273,0.008041777,0.027693241
0.30,10,30,0.091,1205.976929,72358.61572,0.009360059,0.031927126
0.30,10,30,0.091,1334.396729,80063.80371,0.010705057,0.03618949
0.30,10,30,0.091,1458.258301,87495.49805,0.012072194,0.040475546
0.30,10,30,0.091,1577.881714,94672.90283,0.013460047,0.044783488
0.30,10,30,0.091,1628.603852,97716.23112,0.014071467,0.046668161
0.30,10,30,0.091,2065.405273,123924.3164,0.019639135,0.063641769
0.30,10,30,0.091,2795.773193,167746.3916,0.031506243,0.098307297
0.30,10,30,0.091,3971.22583,238273.5498,0.056700453,0.169083547
0.30,10,30,0.091,5735.890625,344153.4375,0.109929934,0.313803575
0.30,10,30,0.091,8117.835938,487070.1563,0.22114782,0.610201056
0.30,10,30,0.091,9905.025391,594301.5234,0.334008768,0.911158997
0.30,10,30,0.091,11307.67383,678460.4297,0.447847426,1.214961151
0.30,10,30,0.091,12477.24121,748634.4727,0.562202632,1.520521084
0.30,10,30,0.091,13492.53613,809552.168,0.676808327,1.827273847
0.30,10,30,0.091,14390.45117,863427.0703,0.791638106,2.134871217
0.30,10,30,0.091,15198.31934,911899.1602,0.906595469,2.44311644
0.30,10,30,0.091,15929.8584,955791.5039,1.02170521,2.751837439
0.30,10,30,0.091,16597.96875,995878.125,1.136941731,3.060914098
0.30,10,30,0.091,17218.46875,1033108.125,1.252292097,3.37017415
0.30,10,30,0.091,17796.6582,1067799.492,1.367743433,3.679572219
0.30,10,30,0.091,18324.66406,1099479.844,1.483268619,3.989179861
0.30,10,30,0.091,18812.66211,1128759.727,1.598896384,4.298862347
0.30,10,30,0.091,19274.58594,1156475.156,1.714567006,4.608512247
0.30,10,30,0.091,19711.91406,1182714.844,1.830300272,4.918085994
0.30,10,30,0.091,20120.69141,1207241.484,1.946093261,5.227595001
0.30,10,30,0.091,20430.00108,1225800.065,2.0378106,5.47261443
0.30,10,40,0.091,112.0612793,6723.676758,0.000473105,0.001772787
0.30,10,40,0.091,167.5317993,10051.90796,0.000713131,0.002661931
0.30,10,40,0.091,222.6619415,13359.71649,0.000955297,0.003552728
0.30,10,40,0.091,277.4541931,16647.25159,0.001199561,0.00444513
0.30,10,40,0.091,331.9204407,19915.22644,0.001445828,0.00533905
0.30,10,40,0.091,386.0286865,23161.72119,0.00169426,0.006234634
0.30,10,40,0.091,439.7983093,26387.89856,0.001944698,0.00713176
0.30,10,40,0.091,546.5808105,32794.84863,0.002450151,0.008929542
0.30,10,40,0.091,651.8422241,39110.53345,0.002964953,0.010734129
0.30,10,40,0.091,843.8673706,50632.04224,0.003936224,0.014089387
0.30,10,40,0.091,1030.654785,61839.28711,0.004939382,0.017467855
0.30,10,40,0.091,1214.047729,72842.86377,0.005963,0.020861186
0.30,10,40,0.091,1393.526489,83611.58936,0.007009948,0.024271581
0.30,10,40,0.091,1569.1521,94149.12598,0.008079689,0.027698605
0.30,10,40,0.091,1741.148926,104468.9355,0.00917075,0.031141185
0.30,10,40,0.091,1869.552171,112173.1303,0.010013818,0.033768045
0.30,10,40,0.091,2725.143555,163508.6133,0.016105846,0.05222417
0.30,10,40,0.091,4212.32666,252739.5996,0.029657758,0.090044129
0.30,10,40,0.091,6673.735352,400424.1211,0.060077962,0.167622988
0.30,10,40,0.091,10451.84473,627110.6836,0.128510043,0.327005139
0.30,10,40,0.091,15893.80078,953628.0469,0.27838023,0.65461582
0.30,10,40,0.091,20027.87109,1201672.266,0.435420007,0.988650937
0.30,10,40,0.091,23321.46484,1399287.891,0.596812338,1.326902252
0.30,10,40,0.091,26086.82031,1565209.219,0.760804981,1.667902813
0.30,10,40,0.091,28457.58398,1707455.039,0.926638454,2.011005845
0.30,10,40,0.091,30563.09766,1833785.859,1.09365809,2.355435522
0.30,10,40,0.091,32465.29102,1947917.461,1.26167506,2.70073467
0.30,10,40,0.091,34197.19922,2051831.953,1.430513978,3.046748477
0.30,10,40,0.091,35783.32813,2146999.688,1.599998415,3.393378094
0.30,10,40,0.091,37244.96094,2234697.656,1.769968927,3.74052365
0.30,10,40,0.091,38283.43881,2297006.329,1.898378454,4.002422503
0.30,10,60,0.091,96.95941925,5817.565155,0.000353551,0.00139325
0.30,10,60,0.091,145.1734161,8710.404968,0.000532039,0.002091118
0.30,10,60,0.091,193.2239838,11593.43903,0.00071161,0.002789776
0.30,10,60,0.091,241.1150665,14466.90399,0.000892234,0.003489185
0.30,10,60,0.091,288.8467102,17330.80261,0.001073898,0.00418933
0.30,10,60,0.091,336.4225769,20185.35461,0.001256571,0.004890181
0.30,10,60,0.091,383.8454285,23030.72571,0.00144022,0.005591711
0.30,10,60,0.091,431.0960083,25865.7605,0.00162493,0.006294019
0.30,10,60,0.091,478.1914368,28691.48621,0.00181059,0.006996996
0.30,10,60,0.091,572.0809937,34324.85962,0.00218371,0.008404373
0.30,10,60,0.091,665.2127075,39912.76245,0.002561782,0.0098149
0.30,10,60,0.091,828.3084106,49698.50464,0.003236586,0.012308993
0.30,10,60,0.091,989.4677734,59368.06641,0.003923906,0.014811139
0.30,10,60,0.091,1149.052124,68943.12744,0.004621445,0.017319756
0.30,10,60,0.091,1306.926392,78415.5835,0.005329971,0.019835436
0.30,10,60,0.091,1463.40979,87804.5874,0.006047331,0.022356711
0.30,10,60,0.091,1618.181763,97090.90576,0.006775618,0.02488476
0.30,10,60,0.091,1622.788806,97367.32835,0.006802314,0.02496837
0.30,10,60,0.091,2945.339844,176720.3906,0.013577477,0.04760153
0.30,10,60,0.091,5375.157227,322509.4336,0.028560941,0.093607115
0.30,10,60,0.091,9758.227539,585493.6523,0.062145825,0.186867956
0.30,10,60,0.091,17498.85156,1049931.094,0.138303369,0.375055954
0.30,10,60,0.091,26981.99023,1618919.414,0.257390305,0.638434814
0.30,10,60,0.091,35528.09375,2131685.625,0.386107862,0.902167853
0.30,10,60,0.091,43282.0625,2596923.75,0.522178143,1.166743266
0.30,10,60,0.091,50341.44922,3020486.953,0.664634526,1.432167984
0.30,10,60,0.091,56785.40625,3407124.375,0.812760144,1.698299767
0.30,10,60,0.091,62703.87891,3762232.734,0.965726137,1.965007779
0.30,10,60,0.091,68167.45313,4090047.188,1.122844636,2.232210485
0.30,10,60,0.091,73259.96094,4395597.656,1.283382475,2.499770363
0.30,10,60,0.091,76452.06326,4587123.796,1.389917761,2.675379798
0.30,12,24,0.109,58.68887329,3521.332397,0.000403092,0.001530018
0.30,12,24,0.109,87.48947144,5249.368286,0.000606295,0.00229646
0.30,12,24,0.109,115.9455795,6956.734772,0.00081062,0.003063793
0.30,12,24,0.109,144.0700989,8644.205933,0.001016004,0.003831964
0.30,12,24,0.109,171.8688354,10312.13013,0.00122241,0.004600947
0.30,12,24,0.109,199.3581085,11961.48651,0.001429755,0.005370694
0.30,12,24,0.109,226.4954376,13589.72626,0.001638187,0.006141299
0.30,12,24,0.109,253.292099,15197.52594,0.001847602,0.006912732
0.30,12,24,0.109,306.174408,18370.46448,0.00226862,0.008457338
0.30,12,24,0.109,357.6557007,21459.34204,0.002693786,0.010005394
0.30,12,24,0.109,457.660675,27459.6405,0.00355305,0.01310881
0.30,12,24,0.109,552.461731,33147.70386,0.004427136,0.016225152
0.30,12,24,0.109,643.7763062,38626.57837,0.005310712,0.019350443
0.30,12,24,0.109,731.5233154,43891.39893,0.006203894,0.022484825
0.30,12,24,0.109,816.071106,48964.26636,0.007105497,0.025627386
0.30,12,24,0.109,897.2751465,53836.50879,0.008015872,0.028778203
0.30,12,24,0.109,975.2624512,58515.74707,0.008934595,0.031936822
0.30,12,24,0.109,1050.863159,63051.78955,0.00985916,0.035101543
0.30,12,24,0.109,1123.939575,67436.37451,0.010789998,0.038272515
0.30,12,24,0.109,1194.70166,71682.09961,0.011726634,0.041449122
0.30,12,24,0.109,1330.009033,79800.54199,0.013615938,0.047817192
0.30,12,24,0.109,1457.608887,87456.5332,0.015524318,0.054203838
0.30,12,24,0.109,1578.930908,94735.85449,0.017447644,0.060606091
0.30,12,24,0.109,1694.637939,101678.2764,0.019384717,0.067022163
0.30,12,24,0.109,1805.398071,108323.8843,0.021333891,0.073450905
0.30,12,24,0.109,1880.507049,112830.4229,0.022703654,0.077956961
0.30,12,24,0.109,2136.001221,128160.0732,0.027487341,0.093692312
0.30,12,24,0.109,2566.723145,154003.3887,0.037283283,0.125334901
0.30,12,24,0.109,3293.560059,197613.6035,0.057124367,0.189037793
0.30,12,24,0.109,4412.166504,264729.9902,0.097396776,0.317554156
0.30,12,24,0.109,5880.91748,352855.0488,0.17876143,0.57763354
0.30,12,24,0.109,6990.808105,419448.4863,0.259950548,0.839625776
0.30,12,24,0.109,7862.288574,471737.3145,0.340714484,1.103152233
0.30,12,24,0.109,8593.202148,515592.1289,0.4211023,1.367663717
0.30,12,24,0.109,9224.771484,553486.2891,0.50117971,1.632890577
0.30,12,24,0.109,9779.504883,586770.293,0.581052184,1.898610116
0.30,12,24,0.109,10261.31152,615678.6914,0.660709441,2.164816209
0.30,12,24,0.109,10695.56152,641733.6914,0.740257561,2.431264608
0.30,12,24,0.109,11097.0498,665822.9883,0.819753408,2.697811216
0.30,12,24,0.109,11455.1123,687306.7383,0.899201065,2.964522079
0.30,12,24,0.109,11786.79102,707207.4609,0.978617966,3.231267818
0.30,12,24,0.109,12095.1377,725708.2617,1.057993352,3.498026517
0.30,12,24,0.109,12384.36914,743062.1484,1.137346566,3.764749219
0.30,12,24,0.109,12655.31543,759318.9258,1.216670096,4.031424581
0.30,12,24,0.109,12906.11719,774367.0313,1.295958519,4.298063629
0.30,12,24,0.109,13142.44434,788546.6602,1.375205874,4.564627568
0.30,12,24,0.109,13362.30566,801738.3398,1.454410315,4.831112738
0.30,12,24,0.109,13568.41895,814105.1367,1.533587694,5.097477359
0.30,12,24,0.109,13759.61523,825576.9141,1.612732351,5.363731686
0.30,12,24,0.109,13942.74609,836564.7656,1.691852987,5.62980856
0.30,12,24,0.109,14116.98828,847019.2969,1.770985901,5.895682317
0.30,12,24,0.109,14283.4375,857006.25,1.850104928,6.161348776
0.30,12,24,0.109,14442.30176,866538.1055,1.929201484,6.42679732
0.30,12,24,0.109,14594.55859,875673.5156,2.00828898,6.692011489
0.30,12,24,0.109,14742.90527,884574.3164,2.087360501,6.956970139
0.30,12,24,0.109,14884.14355,893048.6133,2.166428447,7.221662317
0.30,12,24,0.109,15020.8877,901253.2617,2.245477438,7.486080215
0.30,12,24,0.109,15150.91406,909054.8438,2.324524641,7.750227259
0.30,12,24,0.109,15275.87598,916552.5586,2.40357995,8.014055245
0.30,12,24,0.109,15393.24316,923594.5898,2.482643127,8.277572534
0.30,12,24,0.109,15430.29762,925817.8572,2.507347019,8.359854005
0.30,12,36,0.109,156.1148987,9366.893921,0.000580484,0.001836197
0.30,12,36,0.109,232.8629913,13971.77948,0.000875069,0.002757308
0.30,12,36,0.109,308.7990417,18527.9425,0.001172366,0.003680249
0.30,12,36,0.109,383.9346924,23036.08154,0.001472301,0.004604958
0.30,12,36,0.109,458.2575989,27495.45593,0.001774857,0.005531443
0.30,12,36,0.109,531.732605,31903.9563,0.00208011,0.006459768
0.30,12,36,0.109,604.4269409,36265.61646,0.002387843,0.007389786
0.30,12,36,0.109,747.9223633,44875.3418,0.003009508,0.009253933
0.30,12,36,0.109,888.1346436,53288.07861,0.003641559,0.01112513
0.30,12,36,0.109,1025.188965,61511.33789,0.004283565,0.013003147
0.30,12,36,0.109,1158.677979,69520.67871,0.004936653,0.014888849
0.30,12,36,0.109,1290.088135,77405.28809,0.005596032,0.016779063
0.30,12,36,0.109,1418.883423,85133.00537,0.006263407,0.01867488
0.30,12,36,0.109,1545.055176,92703.31055,0.006938771,0.020576274
0.30,12,36,0.109,1668.65918,100119.5508,0.007621802,0.022483084
0.30,12,36,0.109,1789.876587,107392.5952,0.008311956,0.024394893
0.30,12,36,0.109,1908.805664,114528.3398,0.00900888,0.026311494
0.30,12,36,0.109,2025.520996,121531.2598,0.00971229,0.028232755
0.30,12,36,0.109,2253.08374,135185.0244,0.011136209,0.032087694
0.30,12,36,0.109,2472.157715,148329.4629,0.012584792,0.035960278
0.30,12,36,0.109,2684.306396,161058.3838,0.014053262,0.039847382
0.30,12,36,0.109,2889.861328,173391.6797,0.015540742,0.043748033
0.30,12,36,0.109,3089.20874,185352.5244,0.017046317,0.047661291
0.30,12,36,0.109,3118.457834,187107.4701,0.017279706,0.048261734
0.30,12,36,0.109,3847.192871,230831.5723,0.023154663,0.063327883
0.30,12,36,0.109,5090.795898,305447.7539,0.035555219,0.093883325
0.30,12,36,0.109,7124.992676,427499.5605,0.061758457,0.155884569
0.30,12,36,0.109,10228.37109,613702.2656,0.117099561,0.281872349
0.30,12,36,0.109,14558.34473,873500.6836,0.232658356,0.538562821
0.30,12,36,0.109,17819.51758,1069171.055,0.350276068,0.79877768
0.30,12,36,0.109,20403.1875,1224191.25,0.468959272,1.06132809
0.30,12,36,0.109,22567.35742,1354041.445,0.588239878,1.325336018
0.30,12,36,0.109,24452.74023,1467164.414,0.707890093,1.590290971
0.30,12,36,0.109,26125.4668,1567528.008,0.827802062,1.855966324
0.30,12,36,0.109,27639.56445,1658373.867,0.947883338,2.122177585
0.30,12,36,0.109,29011.26758,1740676.055,1.068089902,2.38886512
0.30,12,36,0.109,30274.33398,1816460.039,1.188402355,2.655881699
0.30,12,36,0.109,31425.04102,1885502.461,1.308843076,2.923228812
0.30,12,36,0.109,32505.76563,1950345.938,1.429354727,3.190712719
0.30,12,36,0.109,33513.02734,2010781.641,1.54996711,3.458323875
0.30,12,36,0.109,34463.53516,2067812.109,1.670635283,3.725996302
0.30,12,36,0.109,35352.83203,2121169.922,1.79137224,3.993735217
0.30,12,36,0.109,36187.92578,2171275.547,1.912216067,4.261495115
0.30,12,36,0.109,36981.93359,2218916.016,2.033068955,4.529252067
0.30,12,36,0.109,37736.37891,2264182.734,2.153944612,4.796984441
0.30,12,36,0.109,38439.95703,2306397.422,2.27488482,5.064721185
0.30,12,36,0.109,39108.6875,2346521.25,2.395846248,5.332364862
0.30,12,36,0.109,39434.38469,2366063.081,2.455756017,5.464859318
0.30,12,48,0.109,174.0458069,10442.74841,0.000482197,0.001544249
0.30,12,48,0.109,260.2696533,15616.1792,0.000726259,0.002317923
0.30,12,48,0.109,346.0124817,20760.7489,0.00097213,0.003092535
0.30,12,48,0.109,431.2741699,25876.4502,0.001219786,0.003868058
0.30,12,48,0.109,516.0563965,30963.38379,0.001469208,0.004644472
0.30,12,48,0.109,600.3588257,36021.52954,0.001720362,0.005421762
0.30,12,48,0.109,684.1367798,41048.20679,0.001973382,0.006200006
0.30,12,48,0.109,850.6051636,51036.30981,0.002483319,0.00775854
0.30,12,48,0.109,1014.928406,60895.70435,0.003001121,0.009320724
0.30,12,48,0.109,1338.957275,80337.43652,0.004053513,0.012453308
0.30,12,48,0.109,1654.335938,99260.15625,0.005137067,0.015600464
0.30,12,48,0.109,1964.066284,117843.9771,0.006240878,0.018756932
0.30,12,48,0.109,2267.381348,136042.8809,0.007367522,0.021923912
0.30,12,48,0.109,2564.444824,153866.6895,0.008516083,0.025100954
0.30,12,48,0.109,2855.634033,171338.042,0.009685028,0.028287328
0.30,12,48,0.109,3141.249756,188474.9854,0.010873103,0.03148258
0.30,12,48,0.109,3421.573975,205294.4385,0.012079307,0.034686171
0.30,12,48,0.109,3549.521763,212971.3058,0.012645387,0.036173869
0.30,12,48,0.109,4957.588867,297455.332,0.019246521,0.053177483
0.30,12,48,0.109,7440.102051,446406.123,0.033660401,0.087654399
0.30,12,48,0.109,11622.89063,697373.4375,0.065503661,0.157573365
0.30,12,48,0.109,18154.83398,1089290.039,0.136599101,0.299425048
0.30,12,48,0.109,27770.35938,1666221.563,0.292010993,0.587751525
0.30,12,48,0.109,35204.89844,2112293.906,0.454972163,0.879982569
0.30,12,48,0.109,41173.30859,2470398.516,0.622610748,1.174979517
0.30,12,48,0.109,46159.57422,2769574.453,0.793224871,1.472032165
0.30,12,48,0.109,50486.31641,3029178.984,0.965674698,1.770517233
0.30,12,48,0.109,54348.86719,3260932.031,1.139332473,2.069997962
0.30,12,48,0.109,57799.85156,3467991.094,1.314109385,2.370306673
0.30,12,48,0.109,60979.75781,3658785.469,1.489612877,2.671102563
0.30,12,48,0.109,63900.82031,3834049.219,1.665816963,2.97236893
0.30,12,48,0.109,66582.66406,3994959.844,1.842674911,3.274007431
0.30,12,48,0.109,69072.35156,4144341.094,2.020111322,3.575860248
0.30,12,48,0.109,71389.95313,4283397.188,2.198030472,3.877936685
0.30,12,48,0.109,72549.79782,4352987.869,2.289430287,4.033104308
0.30,12,60,0.109,177.58284,10654.9704,0.000447183,0.001476496
0.30,12,60,0.109,265.7557678,15945.34607,0.000673146,0.002215879
0.30,12,60,0.109,353.5559082,21213.35449,0.000900548,0.002955967
0.30,12,60,0.109,440.9847412,26459.08447,0.001129375,0.003696737
0.30,12,60,0.109,528.0425415,31682.55249,0.001359627,0.004438176
0.30,12,60,0.109,614.7528687,36885.17212,0.001591189,0.005180213
0.30,12,60,0.109,701.0800781,42064.80469,0.001824191,0.005922928
0.30,12,60,0.109,787.006897,47220.41382,0.002058678,0.006666339
0.30,12,60,0.109,872.5700684,52354.2041,0.002294502,0.007410362
0.30,12,60,0.109,1042.914551,62574.87305,0.002769064,0.008899837
0.30,12,60,0.109,1379.709961,82782.59766,0.003732897,0.011885176
0.30,12,60,0.109,1709.950317,102597.019,0.00472139,0.014880789
0.30,12,60,0.109,2036.226807,122173.6084,0.005724858,0.01788236
0.30,12,60,0.109,2357.304688,141438.2813,0.006747667,0.020891804
0.30,12,60,0.109,2673.877686,160432.6611,0.007787036,0.023907816
0.30,12,60,0.109,2986.267578,179176.0547,0.008841702,0.026929697
0.30,12,60,0.109,3294.967773,197698.0664,0.009909809,0.029956735
0.30,12,60,0.109,3376.512093,202590.7256,0.010199189,0.030766664
0.30,12,60,0.109,5257.213379,315432.8027,0.017238156,0.050057712
0.30,12,60,0.109,8683.045898,520982.7539,0.032622788,0.089012723
0.30,12,60,0.109,14748.63965,884918.3789,0.066786684,0.167520869
0.30,12,60,0.109,24980.33594,1498820.156,0.144245967,0.325217992
0.30,12,60,0.109,41241.20703,2474472.422,0.320477724,0.641257799
0.30,12,60,0.109,54630.38672,3277823.203,0.510704547,0.958521109
0.30,12,60,0.109,65808.78125,3948526.875,0.71091193,1.27724372
0.30,12,60,0.109,75386.66406,4523199.844,0.918221861,1.597069169
0.30,12,60,0.109,83772.63281,5026357.969,1.130597889,1.917866167
0.30,12,60,0.109,91237.39844,5474243.906,1.346780002,2.239459755
0.30,12,60,0.109,97971.75781,5878305.469,1.56601572,2.561609506
0.30,12,60,0.109,104136.2109,6248172.656,1.787606359,2.884130379
0.30,12,60,0.109,109874.4688,6592468.125,2.010932267,3.20689781
0.30,12,60,0.109,110486.4612,6629187.672,2.033055975,3.239199029
0.30,12,72,0.109,161.7324982,9703.94989,0.0003991,0.001332711
0.30,12,72,0.109,242.1201172,14527.20703,0.000600475,0.001999945
0.30,12,72,0.109,322.2183228,19333.09937,0.000802984,0.002667742
0.30,12,72,0.109,402.0279541,24121.67725,0.001006606,0.003336083
0.30,12,72,0.109,481.5513,28893.078,0.001211325,0.004004951
0.30,12,72,0.109,560.8046875,33648.28125,0.001417063,0.004674294
0.30,12,72,0.109,639.7550659,38385.30396,0.00162393,0.005344183
0.30,12,72,0.109,718.4121094,43104.72656,0.001831863,0.006014587
0.30,12,72,0.109,796.786438,47807.18628,0.002040824,0.006685471
0.30,12,72,0.109,952.9284058,57175.70435,0.00246093,0.008028408
0.30,12,72,0.109,1107.844482,66470.66895,0.002885798,0.009373246
0.30,12,72,0.109,1414.83728,84890.23682,0.003746082,0.012067947
0.30,12,72,0.109,1717.393921,103043.6353,0.004623051,0.01476953
0.30,12,72,0.109,2015.614136,120936.8481,0.005516066,0.017477927
0.30,12,72,0.109,2310.831055,138649.8633,0.006420303,0.020190825
0.30,12,72,0.109,2602.668945,156160.1367,0.007337027,0.022908747
0.30,12,72,0.109,2891.213623,173472.8174,0.008265806,0.025631418
0.30,12,72,0.109,3098.570783,185914.247,0.008947458,0.02761
0.30,12,72,0.109,5173.378418,310402.7051,0.016259808,0.048205307
0.30,12,72,0.109,8986.681641,539200.8984,0.032179068,0.089776813
0.30,12,72,0.109,15888.47559,953308.5352,0.067185231,0.173416639
0.30,12,72,0.109,28108.6875,1686521.25,0.145168371,0.340886824
0.30,12,72,0.109,46134.81641,2768088.984,0.291214079,0.621608647
0.30,12,72,0.109,62331.31641,3739878.984,0.448858231,0.900556783
0.30,12,72,0.109,77010.6875,4620641.25,0.6152834,1.178645497
0.30,12,72,0.109,90380.60156,5422836.094,0.789076775,1.456199813
0.30,12,72,0.109,102565.8984,6153953.906,0.969427049,1.733292452
0.30,12,72,0.109,113750.4453,6825026.719,1.155356467,2.009927676
0.30,12,72,0.109,124057.9922,7443479.531,1.346230447,2.286139159
0.30,12,72,0.109,133626.7969,8017607.813,1.541184425,2.561986546
0.30,12,72,0.109,141668.903,8500134.181,1.716457189,2.80632732
0.30,6,12,0.055,8.27785778,496.6714668,0.000386788,0.002945186
0.30,6,12,0.055,12.27888012,736.7328072,0.000583334,0.004425704
0.30,6,12,0.055,16.20417213,972.2503281,0.000781638,0.005910497
0.30,6,12,0.055,20.05615997,1203.369598,0.000981542,0.00739939
0.30,6,12,0.055,23.84446144,1430.667686,0.001182814,0.00889185
0.30,6,12,0.055,27.5757885,1654.54731,0.001385286,0.01038751
0.30,6,12,0.055,31.23731804,1874.239082,0.001589397,0.01188716
0.30,6,12,0.055,34.83298874,2089.979324,0.001795083,0.013390533
0.30,6,12,0.055,41.84468842,2510.681305,0.002210727,0.016407555
0.30,6,12,0.055,48.64700317,2918.82019,0.002630888,0.019436829
0.30,6,12,0.055,61.59637833,3695.7827,0.003485755,0.025533214
0.30,6,12,0.055,73.60206604,4416.123962,0.004360891,0.03168385
0.30,6,12,0.055,84.90437317,5094.26239,0.005250742,0.037874879
0.30,6,12,0.055,95.6534729,5739.208374,0.006151564,0.044098014
0.30,6,12,0.055,105.8208847,6349.253082,0.007064262,0.050354463
0.30,6,12,0.055,115.492897,6929.573822,0.007986923,0.056639434
0.30,6,12,0.055,124.7269516,7483.617096,0.008918182,0.062949811
0.30,6,12,0.055,133.5615234,8013.691406,0.009857251,0.069283455
0.30,6,12,0.055,142.0348358,8522.090149,0.010803114,0.07563864
0.30,6,12,0.055,142.4948568,8549.691411,0.010857082,0.076001894
0.30,6,12,0.055,180.0575256,10803.45154,0.015498412,0.106998622
0.30,6,12,0.055,238.9401855,14336.41113,0.025095113,0.169945716
0.30,6,12,0.055,328.5297546,19711.78528,0.044677846,0.297649834
